age,body_type,diet,drinks,education,height,pets,sex,smokes
22,overweight,regular,rarely,student,75.0,likes_pets,m,smokes
35,average,regular,often,student,70.0,likes_pets,m,no
38,slim,regular,rarely,graduate,68.0,has_pets,m,no
23,slim,vegetarian,rarely,student,71.0,likes_pets,m,no
29,fit,regular,rarely,graduate,66.0,likes_pets,m,no
29,average,regular,rarely,graduate,67.0,likes_pets,m,no
32,fit,regular,rarely,graduate,65.0,likes_pets,f,no
31,average,regular,rarely,graduate,65.0,likes_pets,f,no
24,,regular,rarely,graduate,67.0,likes_pets,f,smokes
37,fit,regular,no,student,65.0,likes_pets,m,no
35,average,regular,rarely,other,70.0,unknown,m,smokes
28,average,regular,rarely,graduate,72.0,likes_pets,m,no
24,,regular,often,other,72.0,unknown,m,no
30,slim,regular,rarely,high_school,66.0,likes_pets,f,no
29,slim,regular,rarely,student,62.0,likes_pets,f,no
39,fit,regular,rarely,graduate,65.0,likes_pets,f,no
33,fit,regular,rarely,student,70.0,likes_pets,m,smokes
26,average,regular,rarely,student,64.0,unknown,f,no
31,average,vegetarian,rarely,graduate,71.0,likes_pets,m,no
33,fit,regular,rarely,graduate,72.0,likes_pets,m,no
27,average,regular,rarely,graduate,67.0,likes_pets,f,no
22,fit,regular,rarely,student,67.0,likes_pets,f,no
30,fit,regular,rarely,graduate,69.0,likes_pets,m,no
30,slim,vegan,no,graduate,71.0,likes_pets,m,no
33,slim,regular,rarely,graduate,73.0,likes_pets,m,smokes
28,fit,regular,rarely,graduate,70.0,has_pets,m,no
22,fit,regular,rarely,student,72.0,likes_pets,m,smokes
22,average,regular,rarely,other,67.0,likes_pets,m,no
30,fit,regular,rarely,graduate,74.0,likes_pets,m,no
32,fit,regular,rarely,graduate,68.0,unknown,m,no
27,average,regular,rarely,student,64.0,unknown,f,smokes
27,fit,regular,rarely,graduate,72.0,likes_pets,m,no
38,average,regular,rarely,graduate,67.0,unknown,f,no
20,average,vegetarian,rarely,student,60.0,likes_pets,f,no
27,slim,regular,rarely,graduate,69.0,likes_pets,m,smokes
26,fit,regular,,other,69.0,unknown,m,no
32,fit,regular,rarely,graduate,69.0,likes_pets,m,smokes
25,fit,regular,rarely,student,69.0,likes_pets,m,no
27,overweight,regular,rarely,other,63.0,unknown,f,no
35,fit,regular,rarely,graduate,74.0,unknown,m,no
30,average,regular,often,graduate,76.0,likes_pets,m,no
35,fit,regular,,graduate,72.0,unknown,m,no
30,average,regular,often,graduate,75.0,unknown,m,no
40,fit,regular,rarely,graduate,71.0,likes_pets,m,no
29,overweight,regular,rarely,graduate,66.0,has_pets,f,no
27,average,regular,rarely,student,69.0,unknown,m,no
27,fit,regular,rarely,graduate,73.0,unknown,m,no
28,average,regular,often,other,70.0,unknown,m,no
31,slim,regular,rarely,other,67.0,unknown,f,no
26,fit,regular,rarely,graduate,66.0,likes_pets,f,no
33,fit,regular,often,graduate,66.0,unknown,f,no
38,fit,regular,rarely,graduate,65.0,likes_pets,f,no
31,average,regular,rarely,graduate,69.0,likes_pets,m,no
36,fit,regular,rarely,graduate,69.0,has_pets,m,no
33,fit,regular,rarely,graduate,69.0,likes_pets,m,no
33,fit,regular,rarely,graduate,70.0,likes_pets,m,no
26,fit,regular,rarely,student,71.0,unknown,m,no
21,slim,regular,rarely,student,72.0,unknown,m,smokes
22,fit,regular,rarely,student,70.0,has_pets,m,smokes
31,average,regular,rarely,graduate,71.0,likes_pets,m,smokes
31,fit,regular,rarely,student,67.0,likes_pets,m,no
35,slim,vegetarian,rarely,other,75.0,likes_pets,m,no
31,slim,regular,rarely,graduate,70.0,unknown,m,smokes
28,overweight,vegetarian,rarely,student,67.0,likes_pets,f,smokes
28,fit,regular,rarely,graduate,72.0,unknown,m,no
29,fit,vegetarian,rarely,graduate,68.0,unknown,m,no
22,fit,regular,rarely,student,65.0,unknown,m,no
30,slim,regular,rarely,student,66.0,likes_pets,f,smokes
31,average,regular,rarely,other,69.0,likes_pets,f,smokes
29,slim,regular,rarely,student,76.0,likes_pets,m,no
25,,regular,rarely,graduate,62.0,unknown,f,no
33,fit,regular,rarely,graduate,67.0,likes_pets,f,no
35,fit,regular,rarely,graduate,73.0,likes_pets,m,no
31,overweight,regular,rarely,graduate,61.0,unknown,f,no
28,fit,regular,,graduate,72.0,likes_pets,m,no
29,overweight,vegetarian,rarely,graduate,67.0,unknown,f,no
26,fit,regular,often,student,72.0,likes_pets,m,no
25,overweight,regular,rarely,student,65.0,likes_pets,f,no
34,overweight,regular,rarely,graduate,67.0,unknown,f,no
21,fit,regular,rarely,student,71.0,likes_pets,m,no
28,slim,regular,often,graduate,67.0,unknown,f,no
31,average,regular,rarely,graduate,69.0,likes_pets,m,no
34,fit,regular,rarely,graduate,69.0,likes_pets,m,no
32,average,regular,rarely,graduate,64.0,likes_pets,f,no
30,fit,regular,rarely,graduate,73.0,likes_pets,m,no
28,average,regular,rarely,graduate,68.0,likes_pets,m,no
40,fit,regular,rarely,student,66.0,likes_pets,f,no
27,overweight,regular,often,graduate,61.0,unknown,f,no
43,overweight,regular,rarely,student,71.0,unknown,m,no
37,average,regular,rarely,graduate,64.0,likes_pets,f,no
24,average,regular,rarely,graduate,74.0,unknown,m,smokes
29,,regular,,graduate,74.0,unknown,m,no
29,overweight,regular,,graduate,67.0,unknown,f,no
28,fit,vegetarian,rarely,graduate,69.0,likes_pets,m,no
29,fit,regular,rarely,graduate,67.0,likes_pets,m,no
25,fit,regular,rarely,graduate,78.0,likes_pets,m,no
34,slim,regular,often,other,75.0,likes_pets,m,no
39,fit,regular,rarely,graduate,70.0,unknown,m,no
31,overweight,regular,rarely,graduate,66.0,likes_pets,f,no
46,average,regular,rarely,other,72.0,unknown,m,no
38,slim,regular,rarely,student,71.0,unknown,m,no
30,fit,regular,rarely,graduate,68.0,unknown,m,no
41,fit,regular,rarely,student,69.0,unknown,m,no
39,fit,regular,rarely,other,70.0,likes_pets,m,no
31,slim,regular,rarely,graduate,63.0,likes_pets,f,no
42,fit,regular,rarely,graduate,65.0,likes_pets,f,no
45,fit,regular,rarely,graduate,64.0,likes_pets,f,no
21,fit,regular,rarely,student,72.0,has_pets,m,no
28,,regular,rarely,graduate,64.0,likes_pets,f,no
29,fit,regular,rarely,graduate,66.0,unknown,m,no
36,average,regular,rarely,graduate,68.0,unknown,m,no
28,fit,regular,rarely,graduate,71.0,likes_pets,m,no
24,fit,regular,rarely,other,74.0,unknown,m,no
23,overweight,regular,rarely,student,66.0,likes_pets,f,smokes
36,fit,regular,often,graduate,70.0,likes_pets,m,no
35,slim,regular,rarely,other,72.0,unknown,m,smokes
18,,regular,,other,68.0,unknown,m,no
55,fit,regular,no,other,67.0,likes_pets,m,no
21,average,vegetarian,no,student,65.0,likes_pets,f,no
28,slim,regular,rarely,student,66.0,likes_pets,f,no
24,average,regular,rarely,graduate,71.0,has_pets,m,no
50,fit,regular,rarely,graduate,75.0,likes_pets,m,no
23,fit,regular,rarely,graduate,66.0,likes_pets,m,smokes
21,slim,regular,rarely,student,70.0,likes_pets,m,smokes
27,overweight,regular,rarely,graduate,62.0,unknown,f,no
27,fit,regular,rarely,graduate,68.0,likes_pets,m,no
43,average,regular,rarely,graduate,73.0,unknown,m,no
27,fit,regular,rarely,graduate,68.0,likes_pets,m,no
26,average,regular,often,other,71.0,likes_pets,m,smokes
26,average,regular,rarely,graduate,66.0,unknown,m,no
30,,regular,rarely,other,69.0,likes_pets,m,smokes
32,overweight,vegetarian,rarely,student,68.0,has_pets,f,smokes
43,overweight,vegetarian,rarely,graduate,68.0,likes_pets,f,no
39,average,regular,rarely,graduate,68.0,has_pets,f,no
22,fit,regular,rarely,student,68.0,likes_pets,m,no
