Score,Text
0.562,"""shut up hashtags are cool #offended"""
0.750,"""it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao"""
0.417,"""Lol Adam the Bull with his fake outrage..."""
0.354,"""passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff"""
0.438,"""lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!"""
0.271,"""I need a 🍱sushi date🍙 🍝an olive guarded date🧀 and a 👊🏼Rockys date🍕"""
0.354,"""And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you"""
0.333,"""\n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!"""
0.556,"""it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot."""
0.125,"""Follow up. Follow through. Be #relentless. #success"""
0.231,"""dude the new madden 17? Haha"""
0.583,"""if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser"""
0.604,"""Lol little things like that make me so angry x"""
0.208,"""One more day tiff.. One more day!"""
0.348,"""Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me.."""
0.414,"""Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview"""
0.479,"""Women don't like girls because we resent them for looking so great/we wish we still looked like that #washed"""
0.766,"""where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror"""
0.604,"""I swear I got anger issues but my heart big AF..."""
0.438,"""75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here."""
0.688,"""This is a joke #fuming"""
0.688,"""I just love it when people make plans for me without actually including me in this process #rage"""
0.121,"""Be quick to #listen, slow to #speak, and slow to ."""
0.417,"""It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it."""
0.472,"""Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter"""
0.521,"""YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha #bitter"""
0.356,"""my wasp sting is so itchy"""
0.396,"""Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better!"""
0.542,"""Don King is an insult to the intelligence of the Black Community. What are these people thinking?"""
0.625,"""Giroud's beard is making me angry."""
0.646,"""I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW"""
0.396,"""Well, not Archie. No offense but he's kinda old."""
0.250,"""wow. not heard this in forever. Random but. great #xph"""
0.542,"""Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting"""
0.750,"""ICQ is just making me mad!!!😤 #icq #angry"""
0.530,"""If angry, bash out your frustration on the pastry #GBBO"""
0.792,""".than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming"""
0.375,"""Oh daaaaaaamn ! #getitgirl #girlpower #anger #rawr #ChicagoPD"""
0.442,"""oh dear I have to watch this the woman with the pout did well"""
0.458,"""He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus."""
0.562,"""decorations are up all over Jersey already #outrage"""
0.438,"""We're going to get City in the next round for a revenge."""
0.389,"""or in my case a raging moody cow lol why i buy moody cow socks lol"""
0.479,"""No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂"""
0.479,"""Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife"""
0.708,"""Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry"""
0.741,"""Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage."""
0.604,"""I genuinely think I have anger issues"""
0.458,"""Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal"""
0.562,"""'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily."""
0.500,"""In fact, sometimes i don't get furious at people who wrong me, but i get furious at myself for being a fool."""
0.396,"""Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx. #KGB #G-town #fury"""
0.458,"""When you forget to mention you were bought dreamboys tickets 🙄😂 #raging"""
0.312,"""All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous"""
0.333,"""So Rangers v Celtic ll #revenge"""
0.583,"""#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back."""
0.417,"""Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS!"""
0.354,"""I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils"""
0.542,"""I can see how this will end\nIn all its bitter tragedy\nI'll give you all I have to spend\nAnd you'll give nothing back to me"""
0.200,"""Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya #revenge #bwahaha"""
0.708,"""You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!"""
0.604,"""Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations."""
0.910,"""I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #fuck #die #hatered"""
0.479,"""thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks"""
0.542,"""I did that! 3 days later my order isn't even in the same postcode as me"""
0.625,"""I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail"""
0.292,"""Another loss to city in the cup next 🙈 😂😂 cmon united!"""
0.417,"""So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter"""
0.604,"""Unbelievable takes 10 minutes to get through to then there's a fault and the call hangs up #treatcustomersfairly"""
0.354,"""I don't know... Wasn't punk mostly about white men throwing tantrums?"""
0.354,"""Skipping meals is the national way of showing #disappointment and . #wiz"""
0.646,"""he's stupid, I hate him lol #bitter"""
0.354,"""#bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !"""
0.521,"""any time a man who got paid to throw temper tantrums speaks up, you gotta listen."""
0.583,"""I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry"""
0.232,"""Cheap pout my brodcast"""
0.271,"""Houston might lose a coach tomorrow or by midnight. #yikes #offense?"""
0.479,"""has turned into a rather fiery GG radical)"""
0.688,"""This man is an affront to our justice system."""
0.625,"""When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 #oldcunt"""
0.405,"""wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended"""
0.458,"""Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha"""
0.417,"""With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer"""
0.646,"""some of the casuals tweets that Vic has faved are making me gag"""
0.625,"""Terence- got a lot of anger issues from my family and school."""
0.604,"""He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other'"""
0.333,"""She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -"""
0.188,"""Jared + #snap? 💘"""
0.771,"""you came in at silly o'clock and woke me up that's what happened #wasted #fuming"""
0.521,"""Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part"""
0.229,"""My nephew sees that i have a frown on my face and he tells me 'you're beautiful '!😢💞😩"""
0.542,"""Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff 🙄"""
0.438,"""Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage"""
0.667,"""There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me will know"""
0.500,"""says, who are you to compared me with the others; I'm just human. #lit #fire"""
0.521,"""No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way."""
0.292,"""I hope my hustle don't offend nobody"""
0.509,"""ramos does what he does best burning haters with his head"""
0.417,"""I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage"""
0.375,"""If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work"""
0.188,"""Follow me on Snapchat 👻 Carlabtst15 #snapchat"""
0.375,"""if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate"""
0.479,"""The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some"""
0.604,"""Don't join they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly!"""
0.396,"""sorry to burst the bubble but there was never any illusion 🙈😂😂"""
0.750,"""Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps"""
0.667,"""cmode grimrail made me want to eat angry bees"""
0.750,"""my mom cut my phone off and I'm so furious 🤗"""
0.542,"""Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH"""
0.792,"""I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry"""
0.208,"""So excited to watch #allstars \n #RuPaul"""
0.896,"""So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted"""
0.521,"""#Hudcomedy #AdamRowe #insult Slutfaceshlongnugget"""
0.458,"""These NA kids are relentless"""
0.562,"""Why mfs so bitter"""
0.562,"""Like hello? I am your first born you must always laugh at my jokes. #offended"""
0.542,"""I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE."""
0.333,"""i have hit a lot of irate villa fans lol"""
0.396,"""eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol"""
0.688,"""I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of £20 - I was fuming I miss you"""
0.375,"""Gotta wonder why Caller Max listens to the show in the first place if you so incense him"""
0.464,"""Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere"""
0.583,"""A black female LEO💙 was shot 8 times and died in Philadelphia --Where's the #outrage black people? #Sharpton #blm #TheFive"""
0.396,"""Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day."""
0.479,"""I need all your attention! If I don't I'll pout.."""
0.375,"""I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit."""
0.729,"""please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!"""
0.688,"""People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #stop"""
0.173,"""Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #country #countrygirl"""
0.667,"""That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume"""
0.138,"""happy birthday to my seed‼️‼️‼️ #renewtherivalry #imyourdaddy #cantbeatme #madden #tater"""
0.396,"""We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine."""
0.729,"""I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old!"""
0.406,"""A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court."""
0.292,"""JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. 1 assist."""
0.646,"""broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin"""
0.729,"""What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #hangry #day5"""
0.438,"""fury road!!"""
0.292,"""I wish the next madden has a story mode too. Just like Fifa 17"""
0.604,"""i already gets aggravated too fast like why aggravate me on purpose?"""
0.271,"""Yo gurls Dm for a tribute 😜💦 #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow"""
0.375,"""😂😂 Oh the zombie rage 😂"""
0.750,"""Circle K is dead to me. I hate your new slushie machine. #livid"""
0.667,"""I did that! 3 days later my order isn't even in the same postcode as me #fuming"""
0.628,"""delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading #fuming"""
0.667,"""We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder?"""
0.521,"""never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*"""
0.583,"""I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai."""
0.167,"""Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless"""
0.500,"""Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them"""
0.625,"""I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media"""
0.479,"""I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown"""
0.438,"""Chris ate all my mac n cheese so imma eat all his taffy #revenge"""
0.394,"""I heard Movie Bob was furious about the Skittles analogy. He was upset that there wasn't actually any Skittles."""
0.427,"""Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition."""
0.542,"""what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall"""
0.673,"""Okay you've annoyed me, you haven't done a good job there at all. #furious"""
0.458,"""What u do wen ur love cheats on u ? Wen thy don't understand the emotions behind the anger, the constant waiting.. what u do ?"""
0.646,"""there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage"""
0.542,""":^) well cucks among her ranks agree equally about their outrage of black youths shot and harambe."""
0.667,"""turn that shit off! Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? #rage. #iphonePhoneHome"""
0.646,"""Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp"""
0.500,"""Panpiper playing Big River outside The Bridges in SR1 #outrage"""
0.375,"""“Do not fret if you are not cool! Humans who follow me, become instantly cool!” #Bot"""
0.271,"""I've just found out it's Candice and not Candace. She can pout all she likes for me 😍"""
0.417,"""Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed"""
0.562,"""and apparently he's supposed to have a Scottish accent??? I'm #offended"""
0.583,"""Candice on great british bake off with that pout does my head in 👊🏻🙄"""
0.396,"""switch host no bullet rage."""
0.604,"""I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster."""
0.438,""".....Seems like a fight ready to rage on....."""
0.375,"""Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #rage #against #machines"""
0.250,"""gonna eat, pick up my brother, get my car washed &amp; finally go home ressssst &amp; watch all fast &amp; furious movies 🤘🏼"""
0.208,"""630am meeting Olympic House #10golds24 . #relentless #neverquit #believe #dreambig #TeamTTO #going4gold"""
0.521,"""i think your high-profile female colleague would be one in yhat category... #massexodus"""
0.125,"""IT'S GAME DAY!!!! T MINUS 14:30"""
0.396,"""i think your high-profile female colleague would be one in yhat category... #massexodus #bitter"""
0.375,"""if u have time 2 open a snap, u have time 2 respond"""
0.458,"""species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even frown on talking about eating humans #lizardscum"""
0.292,"""Ok but how are the fast &amp; furious movies NOT classified as comedy's? 🤔"""
0.521,"""I accidetly dumped boiling water my myself 😫"""
0.435,"""one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome #revenge"""
0.396,"""Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right"""
0.729,"""but that was a mistake and a half assed excuse and now here i am burning in hell forever"""
0.333,"""Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober 😂"""
0.500,"""Ballmer will be furious. Another delivery lost..."""
0.396,"""#bitter. Nicole and Cory is why she was evicted."""
0.375,"""The best revenge is massive success. –Frank Sinatra"""
0.729,"""#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!"""
0.629,"""sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated"""
0.271,"""Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx. #KGB #G-town"""
0.708,"""James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter #shouldofVotedforNicole"""
0.458,"""bad news if ordered online it hasn't gone through same happened to me had to re order on the phone"""
0.625,"""I'm distraught! 😭 Candice and her pout can piss off"""
0.250,"""Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya #bwahaha"""
0.229,"""I've never seen fast &amp; furious Tokyo drift. Boutta watch it"""
0.375,"""also other ppl who i love a whole damn lot; erica, joanna, tiff, sirli, harley, anja, (the rest of the gc bc i ran out of chara!)"""
0.521,"""The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days"""
0.263,"""35. Do you hold a grudge against your ex?"""
0.479,""":)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge"""
0.667,"""How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder"""
0.479,"""Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention....."""
0.447,"""Did you even give out any pizzas ? Serious fail #hungry #furious #hangry"""
0.646,"""wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #con!"""
0.646,"""Goddamn headache."""
0.481,"""I either look like a raging bitch, or I'm obnoxiously laughing at something not that funny. I don't think there's any middle ground."""
0.375,"""huff btw ty😔"""
0.896,"""I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice"""
0.417,"""My back is starting to irritate me and it's barely 2:19 😓"""
0.458,"""Take public opinion on revenge with Pakistan if govt is unable to decide."""
0.375,"""thanks for ios10 update, even the best app freezing and crashing on SE."""
0.396,"""New madden kicking 🚮"""
0.438,"""and peter your radio piece on off the ball was pure class , no digs , no revenge , a total balanced pro ! 👏👏👏"""
0.312,"""nice. why are u fuming then 😂"""
0.067,"""Literally burst out laughing."""
0.579,"""Egyptian officials expressed frustration and outrage over the Obama/Hillary administration’s support of the Muslim Brotherhood"""
0.688,"""Just watching crimewatch what kind of sick fuck touches 6 year olds 😡😡😡😡 shit like this makes me fume!!!"""
0.625,"""I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious."""
0.750,"""then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming"""
0.479,"""My baskets are better when I'm in a bad mood someone irritate me before practice please"""
0.292,"""I miss my gran singing Rawhide, in her deep baritone growl."""
0.792,"""I'm about to fly into a fit of rage it's not FAIR"""
0.333,"""You insult the late Sherri Martel"""
0.542,"""No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not."""
0.729,"""fuming"""
0.479,"""I'm offended, I actually am"""
0.292,"""Don't be bitter"""
0.458,"""#IndiaMissingIndira that she could never solve Kashmir Problem and kept it burning for Vote Bank\n#TerrorStatePak"""
0.127,"""i love the word fret so much and im in heaven"""
0.542,"""I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross"""
0.458,"""Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG"""
0.750,"""#Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite"""
0.417,"""I agree but our offense was ass after the second half td score on the first drive"""
0.604,"""Just paid for chicken at and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer"""
0.542,"""Chick told me I look like Childish Gambino. #insult or #compliment"""
0.538,"""Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry"""
0.583,"""delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading"""
0.583,"""her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #😂😂"""
0.521,"""I offered gold or silver but they said Nah... #bitcoin #snap"""
0.542,"""You offend me,"""
0.562,"""watching on +1. I would have been straight out of there with the guy who was getting irate! #ExtremeWorld"""
0.333,"""my dogs making the most RIDICULOUS sounds right now its like a high pitched gargle-y growl"""
0.792,"""Unbelievable takes 10 minutes to get through to then there's a fault and the call hangs up #fuming #treatcustomersfairly"""
0.500,"""I believe that's what you call the fury of the righteous."""
0.729,"""Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter."""
0.500,"""If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen"""
0.792,"""Actually fuming I have nothing to wear Saturday"""
0.792,"""This fuck you is boiling up inside, its not gonna be good when I let it out."""
0.976,"""Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up"""
0.417,"""If you let a general tweet offend you, you definitely shouldn't be on twitter."""
0.562,"""Bloody right"""
0.583,"""2. the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back."""
0.425,"""I can't guess if you holding a grudge against the best'"""
0.583,"""#Scorpio always seek revenge!"""
0.479,"""exactly what I have been saying on fb.. #bitter"""
0.500,"""Didn't think Cadres not Getting SRC deployment would make some Cadres so bitter, Ku tough Macom."""
0.562,"""Opioid rapid pill plague...Speed generations Pulse Rapid rabid Impairment Ist Choice Stacked usage vs street ingestion demo US"""
0.688,"""angry already"""
0.542,""". . A2: #irritation and isolation #lifenabler"""
0.479,"""is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types?"""
0.562,"""im on holiday for the next round, fuming!"""
0.229,"""If someone keeps #laughing at you, don't #fret . At least u r giving #happiness .'\n#quotes #quotestoliveby"""
0.500,"""You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform."""
