Score,Text
0.292,"""#revolting cocks if you think I'm sexy!"""
0.667,"""I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid"""
0.604,"""“What worries you masters you.” - Haddon Robinson #Jesusisthesubject #worry #anxiety #anxious"""
0.412,"""first you take the room now you wanna beat me up"""
0.896,"""We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous"""
0.438,"""Make him be a bully. Sit him in a room by himself and let him look at Debo all day."""
0.521,"""3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friends🕯"""
0.312,"""are you guys still down? When can we go up?"""
0.646,"""is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully"""
0.342,"""What is your favorite #horror movie? #ghosthunters"""
0.479,"""Not sure if thats an accomplishment or something to worry about"""
0.646,"""hate being shy 😩"""
0.120,"""#smackdev #ptp #start oh yeah!"""
0.688,"""I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots."""
0.375,"""so bad...Slash prices or send them to refugee camps, like team gear after they lose championships."""
0.812,"""I'm shaking now."""
0.792,"""And they cover these police shootings fairly well they dont want to miss a chance to bully you"""
0.279,"""“ Less sugar, more fruit.\n Less soda, more water.\n Less worry, more sleep.\n LESS WORDS, MORE ACTION.”"""
0.319,"""OH sorry for your divorce but don't worry I will be a good wife then (no reference)"""
0.500,"""That old lady is cray cray #scared #BellaIsSoCute #Empire"""
0.208,"""Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes."""
0.771,"""data stolen in 2014 and only now do you tell us ."""
0.500,"""awe yay thank god I was so worried."""
0.742,"""This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime."""
0.700,"""so this houses will get into my instestines and scare my poop and I'll shit my pants?"""
0.500,"""Late night #thoughts. Feeling ."""
0.812,"""The terror threat level really need to be raised"""
0.417,"""You have a #problem? Yes! Can you do #something about it? No! Than why"""
0.396,"""Great defender, terrible positioning. Didn't know where he should be without Russel shouting at him for 90 mins"""
0.917,"""#panic Panic attack from fear of starting new medication"""
0.708,"""Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military"""
0.458,"""An kind of drive home from work today #dailyfeels"""
0.070,"""♪OLD FISH"""
0.375,"""Rojo is a terrible defender"""
0.792,"""Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅"""
0.479,"""This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico."""
0.500,"""more like quickie divorce #awful"""
0.600,"""Noooooo without #MaryBerry will be #awful #endofanera going 2b so #lost have bought a #lameduck there #notallaboutthemoney"""
0.521,"""😂😂😂 y'all know I'm crazy its just shocking that's all"""
0.375,"""Crossword puzzle is oat meals solitary respecting the flat out portentous nutrient rootstock re scruple failur..."""
0.583,"""\nActually pretty typical of trump supporters\nThis kid learned birtherism in school\nThat's horrific"""
0.479,"""Give it up Gas, I don't hate u, I just don't respect ur rudeness. #bully"""
0.438,"""Dafron is hands down the biggest loser on the planet!!! Typical #bully #lifer"""
0.208,"""Yes indeed! We know masses of students would be so excited to see you! We need to get this sorted! #haunt"""
0.708,"""Has anyone else had a bad experience with Poundstretcher? #nightmare firm"""
0.896,"""im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint"""
0.875,"""I have never been more anxious of a election in my life‼️"""
0.583,"""I really want to go for fright night but I really don't 😁"""
0.479,"""#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible"""
0.375,"""Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter"""
0.554,"""As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse"""
0.771,"""in my dream....They were trying to steal my kidney!!! #blackmarket #whydidiwatchthat"""
0.373,"""Do not #worry about anything but #pray about everything."""
0.271,"""#Success awaits on the other side of your #fear &amp; that's only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting"""
0.625,"""Didn't concede yet but having a nightmare at the back #MUFC"""
0.833,"""My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳"""
0.583,"""Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. - Noam Chomsky"""
0.771,"""and have social anxiety. There is many awkward things wrong with me. 😄"""
0.396,"""you should do a TED Talk on 'bubledygook'! I'm sure you could convince the masses to distrust those decrying TED Talks!"""
0.500,"""alarming"""
0.583,"""Saga: When all of your devices and teles fail just in time for bake off #gbbo"""
0.667,"""....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?"""
0.417,"""Donald Trump in the White House"""
0.250,"""I remember it well #happy #Positive"""
0.521,"""I always dread Wednesday's and the always end up making me the happiest"""
0.604,"""However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety #anxiety"""
0.333,"""Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.' - Abraham Lincoln"""
0.292,"""It appears my fire alarm disapproves of my cooking style"""
0.333,"""Hahahah what a horrific penalty from bayer. 5 feet wide. Jesus"""
0.417,"""We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime #horror #game"""
0.854,"""White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis."""
0.542,"""really?? after so long that's shocking tbh"""
0.685,"""If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #iamkratom"""
0.833,"""I'd rather leave my child with #shudder"""
0.123,"""The majority of my clients have family/ partner/ day job/ life AND write their beautiful books. #gratitude #HARDwork"""
0.759,"""Tremor!!!\n"""
0.729,"""A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic"""
0.417,"""future convicts rush in where TRP hogs fear to tread #HomilyHour"""
