Score,Text
0.600,"""yeah! :) playing well"""
0.484,"""At least I don't have a guy trying to discourage me anymore in what I want to do he will never become anything worth contributing to society"""
0.563,"""UPLIFT: If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!"""
0.450,"""...at your age, the heyday in the blood is tame...' #shakespeareaninsults #hamlet #elizabethan #williamshakespeare"""
0.233,"""i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩"""
0.214,"""Really planned on making videos this week. Then. A tv died, phone broke, truck died, #depression took over. I'm wondering what I did 2 karma"""
0.138,"""I hate having ideas but being too afraid to share them 😔"""
0.648,"""At the regular cheerfulness of any emotion, her own supper, and to give the ladies were soon as they have been entirely at"""
0.641,"""A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-"""
0.242,"""Just because I'm hurting \nDoesn't mean I'm hurt \nDoesn't mean I didn't get \nWhat I deserved \nNo better and no worse #lost"""
0.250,"""I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter"""
0.672,"""For what a beautiful day."""
0.550,"""We have been a better second half team this season. So there's that."""
0.500,"""Back to forest drama -\nfrom my #Forest #music - series, 2016\n#nature #dark #art #photography #Finland"""
0.167,"""much #sadness and #heartbreak"""
0.565,"""I have learned over the years that when one's mind is made up, this diminishes fear. –Rosa Parks #quotes #motivation"""
0.536,"""Walk right through them! See way past them, and don't even hesitate running them over."""
0.750,"""it looks cool and animated well for pixel art !"""
0.703,"""Over 70% of social sharing is dark &amp; over 50% of web traffic comes from #darksocial. #LIFTSocial"""
0.733,"""CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…"""
0.852,"""now that I have my future planned out, I feel so much happier #goals #life #igotthis #yay"""
0.617,"""#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live nation"""
0.599,"""Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815"""
0.313,"""People too weak to follow their own dreams will always find a way to discourage yours."""
0.362,"""sadly beautiful photo."""
0.379,"""peanut butter???? You some kinda pervert??"""
0.313,"""My baskets are better when I'm in a bad mood someone irritate me before practice please"""
0.672,"""Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY"""
0.406,"""fucked my coupon that goal!"""
0.138,"""It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.'"""
0.609,"""and it’s gleeful because they’re so inspired, so convinced they’re winning and at last have their strongman"""
0.683,"""Catering channel's at the height technics hearty enjoyment symptomatize: vrlfEyrN"""
0.516,"""the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone"""
0.391,"""the forth character? No... not gleeful enough..."""
0.597,"""My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism #awe"""
0.683,"""YESYESYES like jd is the closest cahracter that is similar to blaine!! the optimism and ability to crack tough characters"""
0.531,"""yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right."""
0.694,"""Hey NASCAR fans. Are you going to the race in Loudon this weekend? Why not stop by New Day Diner for a great hearty breakfast before you go"""
0.638,"""Love your new show"""
0.548,"""'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'"""
0.742,"""Easy, breezy, beautiful..."""
0.790,"""Being in the countryside all day was so pleasing"""
0.333,"""you asshole... you made me sexually attacked to a animated bear :-P"""
0.233,"""they're both pretty awful when you look at them historically"""
0.677,"""those sparkling looks like a gay vampire 😁"""
0.274,"""What do Aquila, Ajahnae, and Euriechsa have in common besides ridiculously stupid,horrible,ugly, God awful names? Tracey IS NOT their father"""
0.776,"""aww thank you!! I'm definitely feeling much better today and your messages cheer me up too ☺️"""
0.613,"""The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity."""
0.638,"""And you as well! #sparkling"""
0.286,"""ball watching &amp; Rojo'd header was equally dreadful!!"""
0.629,"""For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson #quote"""
0.435,"""#CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #protest #PoliceShootings #suggestions"""
0.517,"""Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓 #blog #selfhelp"""
0.371,"""And here we go again 😓"""
0.968,"""I found #marmite in Australia. `:) #happy"""
0.700,"""Misery loves company. The church ought to be a place where it finds none.\n-Pastor Kris Theobald #joy #rejoice"""
0.717,"""Does this blow your mind as much as it blew mine, or did I just sexually harass someone? #WHOA #Mindblown #huh #setback #fright #madashell 😂"""
0.328,"""he has BAD TEMPERAMENT #HissyFits"""
0.517,"""looking like in his heyday"""
0.375,"""They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no?"""
0.558,"""i'm doing laundry and watching that 70's show with a bunch of strangers. #birthday #to #me"""
0.645,"""that's my breezy breezy breezy that's my breezy that's my buzzinnnnnn."""
0.467,"""never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*"""
0.210,"""you made me cry and shake to the point where my parents had to calm me down and give me calming tablets..."""
0.871,"""A delight to be at the Lane tonight and witness the debuts of some young talent that could be the backbone of our club!! #COYS"""
